id,name,gender,popularity
10982,Tony Leech,2,2.188
9885,Greg McLean,2,2.381
7552,Dean Parisot,2,1.798
9621,Cameron Crowe,2,2.672
4379,Robert Luketic,2,3.1
10033,Roger Kumble,2,1.431
11683,George A. Romero,2,4.163
14008,Larry Shaw,2,2.846
11931,Curtis Hanson,2,1.4
13499,Raja Gosnell,2,7.006
8978,Jean-François Richet,2,4.053
9641,Adam Shankman,2,2.85
6963,Gore Verbinski,2,3.037
10065,Andrew Douglas,2,1.111
1656,Martin Campbell,2,2.333
15648,Mark Rosman,2,2.52
15657,Brian Smith,2,0.828
10022,Adam Shankman,2,2.85
9910,D. J. Caruso,2,4.71
11638,Kevin Rodney Sullivan,2,2.135
9923,Tony Scott,2,13.666
2313,Ben Younger,2,1.865
1690,Eli Roth,2,11.351
10066,Jaume Collet-Serra,2,5.794
6439,Frederik Du Chau,2,1.289
9982,Mark Dindal,2,2.366
11968,John Stockwell,2,9.765
7364,Breck Eisner,2,2.342
9981,Jesse Dylan,2,1.478
4442,Terry Gilliam,2,13.415
9738,Tim Story,2,2.746
10040,John Pasquin,2,3.375
10320,Hideo Nakata,2,4.304
11451,Angela Robinson,1,3.28
2800,Rob Reiner,2,9.474
9009,Walter Salles,2,1.358
11637,Brian Levant,2,1.686
8202,Karyn Kusama,1,3.846
11804,Geoffrey Sax,2,1.396
17350,James Huth,2,0.84
6519,Jay Chandrasekhar,2,3.083
14175,Gary Chapman,2,0.6
10012,Wes Craven,2,6.101
8274,Steve Rash,2,1.58
4551,F. Gary Gray,2,2.652
10048,Rob Cohen,2,6.65
9042,Bruce Hunt,2,0.6
11453,Mike Bigelow,2,0.6
14199,Robert Rodriguez,2,9.698
8814,Andrzej Bartkowiak,2,4.91
9722,Nora Ephron,1,4.412
9947,Rob Bowman,2,3.329
11679,Lee Tamahori,2,5.189
8968,Stephen T. Kay,2,2.353
13461,Luca Guadagnino,2,4.569
791,Rupert Wainwright,2,1.389
10214,Lawrence Guterman,2,0.972
12142,Uwe Boll,2,4.222
1124,Christopher Nolan,2,14.387
1422,Martin Scorsese,2,14.656
582,Florian Henckel von Donnersmarck,2,3.453
1402,Gabriele Muccino,2,2.784
752,James McTeigue,2,2.975
4977,Satoshi Kon,2,4.534
14069,Mamoru Hosoda,2,3.08
1417,Guillermo del Toro,2,20.075
13002,Greg Richardson,2,2.047
19026,Michel Ocelot,2,1.62
773,Valerie Faris,1,2.614
9693,Alfonso Cuarón,2,8.291
